,RF_Importance,XGB_Importance,SHAP_RF,SHAP_XGB,Statistical_Sig,Consensus_Score
Cdkn1b,0.04713913133104087,0.0,0.04018759281253994,0.0,0.43089700621586896,0.10364474607188996
Fabp4,0.12000403465031542,0.0,0.11595501812033246,0.0,0.2809244663130424,0.10337670381673805
Ddit3,0.11493458404832507,0.0,0.0832720682570268,0.0,0.3146507821264926,0.1025714868863689
Insr,0.06370474404485145,0.0,0.07698712656825099,0.0,0.3486520249502067,0.09786877911266183
Fgf10,0.16427723657436438,0.0,0.14876475036450595,0.0,0.1684944411359879,0.09630728561497164
Agt,0.08089491307282726,0.0,0.06954111871515174,0.0,0.3269132856011386,0.09546986347782352
Lep,0.0,0.0,0.0,0.0,0.47006258250922595,0.0940125165018452
Tsc22d3,0.13769979688499637,0.0,0.10506852887213575,0.0,0.2012025838687077,0.08879418192516797
Sirt1,0.10955154965297172,0.0,0.10929040969529055,0.0,0.2045860578654163,0.08468560344273572
Fgf2,0.023781182731675315,0.0,0.03191190773171758,0.0,0.354093239122571,0.08195726591719278
Shh,0.09022420423992711,0.0,0.08574801021827676,0.0,0.22676487959174899,0.08054741880999057
Nr1h3,0.06814355499195418,0.0,0.05417072065323693,0.0,0.267857884090132,0.07803443194706462
Retn,0.10120125461010351,0.0,0.0980210852313162,0.0,0.17702258136319304,0.07524898424092255
Cdk4,0.005948155373002003,0.0,0.006689244804508378,0.0,0.2897003909041849,0.060467558216339055
Fgf1,0.052489467047867416,0.0,0.04966073229661054,0.0,0.1994417736196859,0.060318394592832766
Axin1,0.008327417522202804,0.0,0.010643823137972559,0.0,0.28203421569237197,0.06020109127050947
Cfd,0.0745844147462562,0.0,0.09055877007007854,0.0,0.13074084455813229,0.0591768058748934
Adig,0.0,0.0,0.0,0.0,0.29053566669355013,0.058107133338710024
Nr0b2,0.06310001491526292,0.0,0.06090591178569545,0.0,0.16556836460970098,0.05791485826213187
B2m,0.0,0.0,0.0,0.0,0.2886533632089314,0.05773067264178629
Sfrp1,0.020978686450164756,0.0,0.010347474283990242,0.0,0.2534535581838066,0.056955943783592325
Twist1,0.0,0.0,0.0,0.0,0.267754480419756,0.05355089608395121
Sfrp5,0.057615605950748966,0.0,0.05690944593708544,0.0,0.15018422471188397,0.05294185531994368
Wnt3a,0.03851581151339705,0.0,0.05917444775861116,0.0,0.1615589657404725,0.05184984500249614
Mapk14,0.008782823167948269,0.0,0.01629743279643859,0.0,0.22358499259628356,0.04973304971213408
Ppard,0.03321504034424073,0.0,0.041979710204557694,0.0,0.17064140129354294,0.049167230368468276
Src,0.016314722570513446,0.0,0.013581642285582578,0.0,0.21258153700011723,0.04849558037124265
Ppara,0.05621006827486893,0.0,0.046349917584245635,0.0,0.13610664483706722,0.04773332613923635
Nrf1,0.0,0.0,0.0,0.0,0.238356796639643,0.0476713593279286
Wnt5a,0.01850537227156179,0.0,0.025957563787797757,0.0,0.1899935568791338,0.04689129858769867
Ccnd1,0.013476289516957661,0.0,0.010078462172125956,0.0,0.19532722220013204,0.04377639477784313
Slc2a4,0.028105034137434464,0.0,0.0379462614364839,0.0,0.13253195782219576,0.03971665067922282
