Gene,Mean_Ct_Ground,Mean_Ct_Flight,Std_Ground,Std_Flight,ΔΔCt,Fold_Change,log2_FC,t_statistic,p_value,p_adj_BH,Significant_FDR05,MannWhitney_p,-log10_p,Regulation,Pathway
Dkk1,33.227472875,32.690272875000005,3.132520451434205,3.6026013151319036,-0.5371999999999915,1.451153366463499,0.5371999999999915,0.3182697034351329,0.755068117391984,0.7956061274589122,False,0.461920478323797,0.12201386734693656,No Change,Signaling
Dlk1,31.278896625,31.119748625,2.181138379002771,1.7329199578551098,-0.15914800000000184,1.1166275062139035,0.15914800000000184,0.16158639464143787,0.8740569980892159,0.8740569980892159,False,0.959129759129759,0.05846024568539853,No Change,Other
E2f1,28.561835249999998,29.35266725,1.655748708686259,1.120438339871084,0.7908320000000018,0.5780106579634775,-0.7908320000000018,-1.1188409532132197,0.2845833391439579,0.4020304314890834,False,0.19487179487179485,0.5457905291626457,No Change,Cell Cycle
Egr2,30.774370375,31.42977725,2.155962916858061,2.2039154407596473,0.6554068750000006,0.6348964098283452,-0.6554068750000006,-0.6012711207727939,0.5572749686086393,0.6358650282842166,False,0.4418026418026417,0.25393046392260393,No Change,Other
Fabp4,18.5003745,20.15667725,1.5100033304644451,1.792574312564934,1.6563027500000018,0.31725113926946463,-1.6563027500000018,-1.9987699489496484,0.06601686891735101,0.1506538803498523,False,0.020668220668220667,1.180345077463497,No Change,Lipid Metabolism
Fasn,21.003912,21.475215374999998,1.2202476437721266,1.457313252712474,0.47130337499999797,0.7213126473150218,-0.47130337499999797,-0.7013351616969948,0.4949370107411474,0.5941859619870515,False,0.8784770784770783,0.30545006900222715,No Change,Lipid Metabolism
Fgf1,28.576808,29.729228874999997,1.6933306495672955,1.1848160367987737,1.1524208749999971,0.449869706018338,-1.1524208749999971,-1.5771874225970728,0.13965607090235796,0.24371353549627175,False,0.13038073038073036,0.8549401806068194,No Change,Signaling
Fgf10,27.225931250000002,28.569220625,2.144771746701916,1.6745881117283685,1.3432893749999977,0.39412102651465586,-1.3432893749999977,-1.396280999286353,0.1856305370286519,0.2950199606348218,False,0.020668220668220667,0.7313505789137948,No Change,Signaling
Fgf2,28.41115825,30.433876375,1.4905813876123013,1.900385585793273,2.022718125000001,0.24609408288552653,-2.022718125000001,-2.3687720425861363,0.033686202013149064,0.11103970293223209,False,0.020668220668220667,1.472547951254333,Downregulated,Signaling
Foxc2,31.70957,32.211334,1.1093783569599418,1.3078821865895598,0.5017640000000014,0.7062427218593493,-0.5017640000000014,-0.8275163654867361,0.4221896928440766,0.5218733703211502,False,0.32820512820512815,0.37449237357592974,No Change,Other
Foxo1,26.24280375,27.944894875000003,1.5564819272844361,1.0959784514378579,1.7020911250000026,0.30734030365363546,-1.7020911250000026,-2.5289800616934563,0.02570075915941725,0.09502920130897545,False,0.020668220668220667,1.590054048113205,Downregulated,Other
Gata2,29.298346625,29.842219875,1.0036125913737748,1.1542526962264916,0.5438732500000008,0.6859269047201622,-0.5438732500000008,-1.0057213857364582,0.3319399911195522,0.4409352120841813,False,0.3822843822843822,0.47894042196232883,No Change,Other
Gata3,29.851613375,29.615316625000002,1.3396543633761808,2.0535826314736565,-0.2362967499999975,1.1779650619906281,0.2362967499999975,0.2725823648812571,0.7897912911092457,0.8094221800101815,False,0.7984459984459983,0.10248765946254243,No Change,Other
Hes1,29.945770875,30.441481500000002,1.34839496506841,1.1283613614296744,0.49571062500000096,0.7092122569894697,-0.49571062500000096,-0.7974396825835768,0.4389192347586388,0.5351207108701213,False,0.4418026418026417,0.35761538664990916,No Change,Other
Insr,27.423979,28.91939475,1.4236342473566934,1.1103544672360588,1.4954157499999994,0.3546786144782343,-1.4954157499999994,-2.342736026604595,0.035414554984109406,0.11256769262806204,False,0.037917637917637914,1.450818211133979,Downregulated,Glucose/Insulin
Irs1,27.26371625,29.212367125,1.5993443628529915,1.416710301091072,1.9486508749999985,0.25905837413887056,-1.9486508749999985,-2.5796455933309064,0.02202149651269189,0.08908696316498083,False,0.014763014763014764,1.6571531710536327,Downregulated,Glucose/Insulin
Irs2,27.032022375,28.913075875,0.846404675566167,0.5533703052261881,1.8810535000000002,0.2714853962993711,-1.8810535000000002,-5.261251850458347,0.0001973807942306271,0.008783445343262907,True,0.0003108003108003108,3.7046951078236616,Downregulated,Glucose/Insulin
Jun,26.917779875,29.020785125,0.9817244454908978,0.844802742355437,2.103005249999999,0.23277285789030286,-2.103005249999999,-4.59258686158871,0.00044211742244425385,0.01311615019917953,True,0.0018648018648018648,3.354462370589911,Downregulated,Cell Cycle
Klf15,26.762888250000003,28.715378875,1.3356983620568523,1.2711570323616241,1.9524906249999958,0.25836980392216263,-1.9524906249999958,-2.9950145931630265,0.00966804096353217,0.08181140388426174,False,0.010411810411810413,2.014661518152855,Downregulated,Other
Klf2,27.777661375,29.691002375,1.0753309442503127,1.1403962791582494,1.913340999999999,0.26547704020776625,-1.913340999999999,-3.4526209906648977,0.0039019052826752398,0.06945391403161927,False,0.0018648018648018648,2.4087232771533795,Downregulated,Adipogenesis/TF
Klf3,26.748279874999998,28.469350375,1.0478275753104522,1.1609265551544756,1.7210705000000033,0.30332356722478554,-1.7210705000000033,-3.1127387739941303,0.0077175516702105654,0.08181140388426174,False,0.006993006993006993,2.1125204541669285,Downregulated,Other
Klf4,27.96748225,29.451815500000002,1.0982496507013522,1.0808206466215515,1.4843332500000024,0.35741367760514575,-1.4843332500000024,-2.7246221011339657,0.016446799823820028,0.08181140388426174,False,0.014763014763014764,1.7839185934016062,Downregulated,Adipogenesis/TF
Lep,25.475855875,27.971781749999998,1.2654074388339953,2.0004409149796913,2.4959258749999975,0.1772766126158241,-2.4959258749999975,-2.9823979810964794,0.011596398189277136,0.08181140388426174,False,0.014763014763014764,1.9356768805508469,Downregulated,Lipid Metabolism
Lipe,23.184340499999998,25.004030375000003,1.2253617044070817,1.5005773287092763,1.8196898750000052,0.2832818596907942,-1.8196898750000052,-2.656678458019225,0.019287648544172708,0.08583003602156855,False,0.020668220668220667,1.7147207161891398,Downregulated,Other
Lmna,26.97316325,28.371297499999997,1.251711891308031,1.2318832817523162,1.3981342499999982,0.3794195047152994,-1.3981342499999982,-2.251719133043224,0.04092548939507367,0.12559891572970885,False,0.020668220668220667,1.3880061185059012,Downregulated,Other
Lpl,21.06012025,23.12792625,1.3266026515686866,1.6975154570815505,2.067806000000001,0.23852195966029469,-2.067806000000001,-2.714743029715813,0.01746535588540419,0.08181140388426174,False,0.014763014763014764,1.7578225604705073,Downregulated,Lipid Metabolism
Lrp5,27.345091500000002,29.146179124999996,1.190564048964187,1.275680542911725,1.8010876249999939,0.2869581739496115,-1.8010876249999939,-2.919444297387494,0.011248829293079191,0.08181140388426174,False,0.014763014763014764,1.9488926738203418,Downregulated,Other
